id,altura,fnac,fortuna,nacionalidad,nombre,peso
62,1.83,"May 30, 1972 ",110000000.0,United States-Dominican Republic,Manuel Arístides Ramírez Onelcida ,86.2
63,0,"September 4, 1968",100900000.0,American,Michael Joseph Piazza,90.0
64,1.8,"May 9, 1984",100000000.0,American,Prince Semien Fielder,0
65,1.96,"April 19, 1983",100000000.0,American,Joseph Patrick Mauer,0
66,0,"November 18, 1968",90000000.0,American,Gary Antonian Sheffield,0
67,1.88,"October 21, 1983",90000000.0,American,"Donald Zackary ""Zack"" Greinke",88.0
68,1.88,"November 29, 1969",90000000.0,American,Mariano Rivera,0
69,0,"December 20, 1982",80000000.0,American,David Allen Wright,95.0
70,1.85,"July 24, 1964",80000000.0,American,Barry Lamar Bonds,0
71,1.83,"March 25, 1966",80000000.0,American,Thomas Michael Glavine,0
72,1.85,"April 24, 1977",80000000.0,Puerto Rican,Carlos Iván Beltrán,96.0
73,1.95,"August 27, 1970",80000000.0,United States,James Howard Thome,112.0
74,1.88,"August 5, 1981 ",79000000.0,American,Carl Demonte Crawford ,102.0
75,0,"July 3, 1966",75000000.0,Dominican-American,Moises Rojas Alou,83.0
76,1.88,24 August 1945 ,2100000000.0,American,Vincent Kennedy McMahon ,112.0
77,1.98,"February 17, 1963",1600000000.0,American,Michael Jeffrey Jordan,98.0
78,1.85,"December 30, 1975 ",800000000.0,American,Eldrick Tont Woods,84.0
79,1.83,"May 2, 1975 ",670000000.0,English,David Robert Joseph Beckham,71.0
80,2.06,"August 14, 1959",600000000.0,American,Earvin Johnson Jr.,116.0
81,1.9,"February 5, 1942",600000000.0,American,Roger Thomas Staubach,89.0
82,1.75,"January 3, 1969",600000000.0,Germany,Michael Schumacher,68.0
83,1.96,"September 17, 1953",600000000.0,American,Ulysses Lee Bridgeman,95.0
84,1.88,25 May 1958,1200000000.0,British-Croatian,Slavica Radić,0
85,1.68,"April 17, 1974",450000000.0,Englsih,Victoria Caroline Adams Beckham,0
86,1.78,"March 20, 1963 ",360000000.0,American,Kathleen Marie Ireland,0
87,1.8," July 20, 1980",360000000.0,Brazil,Gisele Caroline Bündchen,57.0
88,1.73,28 June 1984,300000000.0,United Kingdom,Tamara Ecclestone,0
89,0,"October 23, 1940",200000000.0,United States,Jane Brookenfeld Holzer,0
90,0,"June 13, 1959",170000000.0,American,Juanita Jordan ,0
91,1.7,"July 10, 1972",160000000.0,Colombian,Sofía Margarita Vergara Vergara,56.0
92,1.73,"February 17, 1981",100000000.0,American,Paris Whitney Hilton ,50.0
93,1.75," February 20, 1966",100000000.0,American,Cynthia Ann Crawford,59.0
94,0,"January 1, 1980",100000000.0,Sweden,Elin Maria Pernilla Nordegren,0
95,1.73,"September 19, 1984",100000000.0,American,Lydia Marie Hearst-Shaw,50.0
96,1.69," June 24, 1987",400000000.0,Argentine,Lionel Andrés Messi Cuccittini,67.0
97,1.85,"August 8, 1981",400000000.0,Switzerland,Roger Federer,85.0
98,2.16,"March 6, 1972",400000000.0,American,Shaquille Rashaun O'Neal,147.0
99,1.98,"August 23, 1978",350000000.0,American,Kobe Bean Bryant,93.0
100,1.96,"May 2, 1972",320000000.0,American,Dwayne Douglas Johnson,118.0
101,1.87,"July 27, 1975",300000000.0,American,"Alexander Emmanuel ""Alex"" Rodriguez",0
102,1.83,"February 10, 1955",300000000.0,Australia,Gregory John Norman,82.0
103,1.78,"January 21, 1940",280000000.0,United States,Jack William Nicklaus,0
104,1.74,"January 7, 1985",280000000.0,United Kingdom,Lewis Carl Davidson Hamilton,0
105,1.92,"January 10, 1949 ",250000000.0,American,George Edward Foreman,118.0
106,1.83,"October 10, 1974",225000000.0,American,"Ralph Dale Earnhardt, Jr.",75.0
107,1.83,"March 29, 1964",95000000.0,Australian ,Eleanor Nancy Gow,0
108,1.78," December 4, 1973",90000000.0,United States,Tyra Lynn Banks,56.0
109,1.75,"February 2, 1954",80000000.0,United States,Christie Brinkley,0
110,1.78,"June 12, 1981 ",75000000.0,Brazilian,Adriana Lima,0
111,1.7,"January 16, 1974",72000000.0,United Kingdom,Katherine Ann Moss,0
112,1.77,"June 1, 1973",70000000.0,Germany- United States (dual),Heidi Klum Samuel ,54.0
113,1.8,"August 25, 1970",55000000.0,German,Claudia Schiffer,0
114,1.6763999978389679,"September 19, 1949",50000000.0,British,Twiggy Lesley Lawson,0
115,0,30 September 1964,45000000.0,Italian,Monica Anna Maria Bellucci,0
116,1.75,"November 17, 1966 ",45000000.0,United States,Daisy Fuentes,0
117,1.7,"September 28, 1934",45000000.0,French,Brigitte Anne-Marie Bardot,0
118,1.77,"May 22, 1970",45000000.0,United Kingdom,Naomi Campbell ,50.0
119,0,"November 10, 1977",45000000.0,Australian,Erica Baxter,0
120,2.03,"October 5, 1972",180000000.0,American,Grant Henry Hill,102.0
121,2.11,"April 25, 1976",177000000.0,United States,"Timothy Theodore ""Tim"" Duncan",113.0
122,2.06,"September 29, 1988",170000000.0,American,Kevin Wayne Durant,107.0
123,2.13,"June 19, 1978",170000000.0,Germany,Dirk Werner Nowitzki ,111.0
124,0,"March 1, 1973",143400000.0,American,Mayce Edward Christopher Webber,111.0
125,1.93,"January 6, 1982",135000000.0,United States,"Gilbert Jay Arenas, Jr.",0
126,1.93,"July 23, 1968",130000000.0,United States,Gary Dwayne Payton,82.0
127,1.91,"November 12, 1988 ",125000000.0,American,Russell Westbrook,91.0
128,0,"November 20, 1981",120000000.0,American,Carlos Austin Boozer Jr.,117.0
129,1.91,"October 4, 1988",115000000.0,United States,Derrick Martell Rose ,86.0
130,2.11," December 8, 1985",115000000.0,United States,Dwight David Howard,120.0
131,1.93,"January 17, 1982",115000000.0,United States,"Dwyane Tyrone Wade, Jr.",100.0
132,0,13 June 1986,500000000.0,American,Mary-Kate Olsen & Ashley Fuller Olsen,44.4
133,1.68,"February 11, 1969",300000000.0,American,Jennifer Joanna Aniston,50.0
134,1.75,"October 28, 1967",250000000.0,American,Julia Fiona Roberts,0
135,1.61,"January 13, 1961",250000000.0,American,Julia Scarlett Elizabeth Louis-Dreyfus,53.0
136,0,"May 17, 1973 ",215000000.0,United States,Suzana Drobnjaković,0
137,1.68,"January 3, 1950",200000000.0,American,Vicki Ree Principal,0
138,1.66,"December 30, 1959",199560000.0,British and American,Tracey Ullman and John McKeown,0
139,0,"October 22, 1943",185000000.0,France,Catherine Fabienne Dorléac,0
140,1.75,"December 16, 1981",185000000.0,United States,Krysten Alyce Ritter ,0
141,1.78,"March 27, 1963 ",160000000.0,Brazil,Maria da Graça Meneghel,0
142,1.7,"July 10, 1972",160000000.0,Colombian,Sofía Margarita Vergara Vergara,56.0
143,2.11,"March 24, 1984",110000000.0,United States,Christopher Wesson Bosh,107.0
144,1.83,"May 6, 1985",95000000.0,United States,"Christopher ""Chris"" Emmanuel Paul",79.0
145,1.91,"February 7, 1974",95000000.0,Canadian-British,Stephen John Nash,81.0
146,2.11,"November 16, 1982 ",90000000.0,United States,Amar'e Carsares Stoudemire,118.0
147,1.65,"November 23, 1992",160000000.0,American,Destiny Hope Cyrus,47.0
148,0,"June 4, 1975",160000000.0,American,Angelina Jolie Voight,62.0
149,1.65,"November 11, 1962",150000000.0,United States,Demi Guynes Kutcher,59.0
150,1.65,"March 31, 1985",145000000.0,United States,Jessica Karen Szohr ,0
151,0," August 9, 1976 ",145000000.0,France,Audrey Justine Tautou,0
152,0,"May 11, 1952",145000000.0,United States,Frances Fisher,0
153,1.6,"November 22, 1984 ",140000000.0,American,Scarlett Johansson,52.0
154,1.75,"August 15, 1990",135000000.0,American,Jennifer Shrader Lawrence,52.0
155,1.63,"February 22, 1975",125000000.0,United States,Drew Blyth Barrymore,57.0
156,1.71,"July 26, 1964",125000000.0,United States,Sandra Annette Bullock,49.0
157,1.63,"September 10, 1953",120000000.0,American,Amy Davis Irving,0
158,1.73,"December 21, 1937",120000000.0,United States,Lady Jayne Seymour Fonda,0
159,1.8,"June 20, 1967",120000000.0,"United States, Australia",Nicole Mary Kidman,54.43
160,1.77,"August 7, 1975 ",110000000.0,"South African, American",Charlize Theron,0
161,0,"February 14, 1942",59000000000.0,American,Michael Rubens Bloomberg,0
162,0,"March 11, 1931",24100000000.0,Australian-American,Keith Rupert Murdoch,0
163,0,"November 30, 1929",13300000000.0,American,Donald Edward Newhouse,0
164,0,"September 29, 1936",7680000000.0,Italian,Silvio Berlusconi,0
165,1.7,"May 14, 1944",7620000000.0,American,"George Walton Lucas, Jr.",0
166,0,"October 14, 1939 ",5410000000.0,United States,Ralph Lifshitz ,0
167,1.71,"December 18, 1946",5410000000.0,American,Steven Allan Spielberg,0
168,0,1962,5330000000.0,Brazil,Joao Moreira Salles,0
169,0,"May 27, 1923",5100000000.0,American,Sumner Murray Rothstein,0
170,0,0,4880000000.0,India,0,0
171,0,"December 13, 1946",4500000000.0,British,Clive Ian Calder,0
172,0,6 April 1946,4000000000.0,Italian,Patrizio Bertelli,0
173,0,"February 25, 1937",3600000000.0,Polish-American,Barbara Piasecka Johnson,0
174,0,10 May 1949,3500000000.0,Italian,Miuccia Bianchi Prada,0
175,0,"September 8, 1967",3500000000.0,Australian,James Douglas Packer,0
176,0,"December 6, 1944",3400000000.0,Israeli,0,0
177,0,1964,3300000000.0,India,Kalanithi Maran ,0
178,0,"October 15, 1944",2900000000.0,Israeli-American,0,0
179,1.69,"January 29, 1954",2700000000.0,American,Orpah Gail Winfrey,75.5
180,0,"June 4, 1937",2500000000.0,Canadian-American,Mortimer Benjamin Zuckerman,0
181,0,"November 19, 1938",2200000000.0,United States,Robert Edward Turner III,0
182,0,"April 24, 1955",2200000000.0,Dutch,Johannes Hendrikus Hubert de Mol Jr.,0
183,0,"November 2, 1922",2300000000.0,Australian,Lloyd Stanley Perron AC,0
184,0,0,1900000000.0,United States,"David Hearst, Jr.",0
185,0,0,1900000000.0,American,Austin Hearst,0
186,1.8,"April 29, 1954 ",920000000.0,American,"Jerome ""Jerry"" Seinfeld",77.0
187,1.8,"July 2, 1947 ",800000000.0,American,"Lawrence Gene ""Larry"" David ",0
188,0,"February 15, 1954",500000000.0,American,Matthew Abram Groening,0
189,1.85,"July 12, 1937",400000000.0,American,William Henry Cosby Jr.,84.0
190,1.8,28 April 1950,400000000.0,American,James Douglas Muir Leno,90.0
191,1.85,"October 19, 1969",350000000.0,United States,Randolph Severn Parker III,0
192,1.88,"May 26, 1971",300000000.0,American,Matthew Richard Stone,0
193,1.57,"July 6, 1979",200000000.0,American,Kevin Darnell Hart,0
194,1.78,"October 26, 1973",194000000.0,American,Seth Woodbury MacFarlane,0
195,0,"May 23, 1958",165000000.0,American,Drew Allison Carey,0
196,1.87,"January 17, 1962",150000000.0,Canadian-American,James Eugene Carrey,84.0
197,1.57,"June 8, 1933",150000000.0,American,Joan Alexandra Molinsky,0
198,1.81,"January 6, 1955",150000000.0,British,Rowan Sebastian Atkinson,82.0
199,1.85,"July 1, 1952",135000000.0,Canadian,"Daniel Edward ""Dan"" Aykroyd, CM",0
200,1.91,"October 13, 1971",130000000.0,British,Sacha Noam Baron Cohen,0
201,0,"September 21, 1950",120000000.0,American,"William James ""Bill"" Murray",0
202,0,"December 21, 1957 ",120000000.0,United States,Raymond Albert Romano,0
203,1.93,"May 17, 1956",100000000.0,American,"Robert Lane ""Bob"" Saget",87.0
204,0,"September 6, 1958",100000000.0,American,Jeffrey Marshall Foxworthy,0
205,0,"January 17, 1957",100000000.0,American,"Broderick Steven ""Steve"" Harvey",0
206,1.78,7 February 1965 ,100000000.0,American,Christopher Julius Rock III,63.5
207,0,"June 28, 1926",85000000.0,American,Melvin James Kaminsky,0
208,1.63,"November 3, 1952",80000000.0,American,Roseanne Cherrie Barr,0
209,1.73,"April 26, 1965",80000000.0,United States,Kevin George Knipfing,0
210,1.71,"June 25, 1961",80000000.0,United Kingdom,Ricky Dene Gervais,0
211,0,0,2600000000.0,South Korea,Shin Chang-Jae,0
212,0,1946,2600000000.0,China,Shen Wenrong,0
213,0,"February 9, 1940",2600000000.0,German,Hubert Burda,0
214,0,0,2500000000.0,United States,Nicholas Woodman,0
215,0,0,2500000000.0,American,David M. Rubenstein,0
216,0,"November 27, 1950",2400000000.0,American,Robert Parsons,0
217,0,"March 18, 1961 ",2400000000.0,France,Arnaud Lagardère,0
218,0,0,2300000000.0,Russian,Alexander Dzhaparidze,0
219,1.79,"June 8, 1977",1800000000.0,American,Kanye Omari West,72.0
220,1.87,"December 4, 1969",1400000000.0,American,Shawn Corey Carter,87.9
221,0,"November 4, 1969",825000000.0,American,Sean John Combs,86.0
222,0,"February 18, 1965",800000000.0,American,Andre Romelle Young,108.0
223,1.79,"October 4, 1957",340000000.0,American,Russell Wendell Simmons,86.0
224,1.9,"April 29, 1967",250000000.0,American,Percy Robert Miller,0
225,1.73,"October 14, 1978",180000000.0,American,Usher Raymond IV,71.0
226,0,"October 24, 1986",180000000.0,Canadian,Aubrey Drake Graham,75.5
227,1.75,"August 16, 1970",140000000.0,India,Saif Ali Khan,80.0
228,0,"February 7, 1978",140000000.0,United States,Christopher Ashton Kutcher,0
229,1.91,"October 13, 1971",130000000.0,British,Sacha Noam Baron Cohen,0
230,1.91,August 1983,130000000.0,Australian,Chris Hemsworth,100.0
231,1.81,"January 6, 1955",150000000.0,British,Rowan Sebastian Atkinson,82.0
232,1.79,"September 3, 1965",125000000.0,United States,Carlos Irwin Estevez,86.0
233,1.85,"February 21, 1955",120000000.0,United States,Allen Kelsey Grammer,0
234,0,"May 23, 1967",170000000.0,American,"Ronald Jay ""Slim"" Williams",0
235,0,"April 5, 1973",150000000.0,United States,Pharrell Williams,0
236,1.68,"September 27, 1982",150000000.0,American,"Dwayne Michael Carter, Jr.",63.0
237,1.93," October 20, 1971",143000000.0,American,"Calvin Cordozar Broadus, Jr.",77.0
238,1.73,"June 15, 1969",140000000.0,American,O'Shea Jackson,0
239,1.8,"February 15, 1969",110000000.0,United States,Bryan Williams,93.0
240,1.87,"January 14, 1968",100000000.0,American,James Todd Smith,95.2
241,1.73,"October 17, 1972",100000000.0,American,Marshall Bruce Mathers III,71.6
242,1.7,"March 10, 1971",85000000.0,American,Timothy Zachery Mosley,91.17
243,0,"April 16, 1973",80000000.0,United States,Aliaune Damala Bouga Time Bongo Puru Nacka Lu Lu Lu Badara Akon Thiam,0
244,0,"November 20, 1965",75000000.0,American,Michael Diamond,0
245,1.73,"October 31, 1966",75000000.0,American,Adam Keefe Horovitz,0
246,1.75," March 15, 1975",75000000.0,United States,"William James Adams, Jr.",70.0
247,0,"December 8, 1984",75000000.0,American,Onika Tanya Maraj,54.0
248,0,"November 14, 1964",70000000.0,American,Joseph Lloyd Simmons,0
249,1.85,"May 20, 1972",65000000.0,American,"Trevor Tahiem Smith, Jr.",0
250,1.61," August 16, 1958",580000000.0,American,Madonna Louise Ciccone,45.3
251,1.75,"March 27, 1970",535000000.0,United States,Mariah Angela Carey,0
252,1.5,"January 19, 1946",500000000.0,United States,Dolly Rebecca Parton,45.0
253,1.57,"September 1, 1957",500000000.0,Cuban-American,Gloria María Milagrosa Fajardo García de Estefan,0
254,1.68,"April 17, 1974",450000000.0,Englsih,Victoria Caroline Adams Beckham,0
255,1.68,"September 4, 1981",420000000.0,American,Beyoncé Giselle Knowles-Carter,59.0
256,1.7,"September 30, 1935",400000000.0,American,John Royce Mathis,0
257,1.64,"July 24, 1969",400000000.0,American,Jennifer Lynn Lopez,56.0
258,1.71,"March 30, 1968",380000000.0,Canada,Céline Marie Claudette Dion,56.0
259,1.65,"April 24, 1942",370000000.0,United States,Barbra Joan Streisand,66.0
260,0,"July 8, 1961 ",360000000.0,American,Toby Keith Covel,0
261,0,"May 24, 1941",350000000.0,American,Robert Allen Zimmerman,0
262,1.61,"August 28, 1965",350000000.0,Canadian,Eilleen Regina Edwards,50.0
263,1.78,"September 23, 1949",345000000.0,American,Bruce Frederick Joseph Springsteen,79.0
264,1.76," October 25, 1984",330000000.0,American,Katheryn Elizabeth Hudson,58.9
265,0,"May 18, 1952",326000000.0,American,"George Harvey Strait, Sr.",0
266,1.55,"March 28, 1986",320000000.0,American,Stefani Joanne Angelina Germanotta,49.8
267,1.68," May 20, 1946",305000000.0,United States,Cherilyn Sarkisian,56.6
268,1.7,"March 1, 1994",305000000.0,Canadian,Justin Drew Bieber,59.0
269,0,"September 23, 1943",300000000.0,Spanish,Julio José Iglesias de la Cueva,0
270,0,0,280000000.0,Greece,0,0
271,1.8," December 13, 1989",280000000.0,American,Taylor Alison Swift,54.0
272,0,"June 15, 1943",275000000.0,France,Jean-Philippe Sme,0
273,1.73,"October 26, 1965",275000000.0,Hong Kong,Aaron Kwok Fu-shing ,0
274,0,"August 21, 1938",250000000.0,American,"Kenneth Donald ""Kenny"" Rogers",0
275,1.83,"May 2, 1975 ",670000000.0,English,David Robert Joseph Beckham,71.0
276,1.86,"February 5, 1985",500000000.0,Portuguese,Cristiano Ronaldo dos Santos Aveiro,77.5
277,1.69," June 24, 1987",400000000.0,Argentine,Lionel Andrés Messi Cuccittini,67.0
278,0,"November 24, 1936",210000000.0,United Kingdom,David Whelan,0
279,1.75,"February 5, 1992",185000000.0,Brazilian,Neymar da Silva Santos Júnior,60.0
280,1.78,"October 24, 1985",160000000.0,British,Wayne Mark Rooney,83.0
281,1.8,"September 2, 1989 ",145000000.0,Brazilian,Alexandre Rodrigues da Silva,71.0
282,0,"September 27, 1976",101600000.0,Italian,Francesco Totti,82.0
283,1.74,"January 26, 1963",100000000.0,Portuguese,José Mário dos Santos Mourinho Félix,74.0
284,1.73,"October 23, 1940",100000000.0,Brazilian,Edison Arantes do Nascimento,69.0
285,0,"November 11, 1983",100000000.0,German,Philipp Lahm ,65.0
286,1.7,"January 7, 1991",100000000.0,Belgian,Eden Hazard ,56.0
287,1.86,"April 22, 1982",100000000.0,Brazil,Ricardo Izecson dos Santos Leite,82.0
288,1.8,"March 10, 1981",95000000.0,Cameroonian,Samuel Eto'o Fils,79.0
289,1.83,"July 16, 1989 ",90000000.0,Welsh,Gareth Frank Bale,74.0
290,1.88,11 March 1978,90000000.0,Ivorian,Didier Yves Drogba Tébily,91.0
291,1.95,"October 3, 1981",90000000.0,Sweden,Zlatan Ibrahimovic,0
292,1.82,"March 21, 1980",90000000.0,Brazilian,Ronaldo de Assis Moreira,0
293,0,"May 11, 1984",86000000.0,Spanish,Andres Iniesta Lujan,0
294,1.83,"March 30, 1986",80000000.0,Spanish,Sergio Ramos García,81.0
295,1.8,"January 23, 1984",80000000.0,Dutch,Arjen Robben,80.0
296,0,"August 9, 1988",75000000.0,Brazilian,Willian Borges da Silva,70.0
297,1.88,7 November 1978,75000000.0,British,Rio Gavin Ferdinand,0
298,1.85," April 19, 1972",74000000.0,Brazil,Rivaldo Vítor Borba Ferreira,0
299,1.73,"June 2, 1988",70000000.0,Argentine,"Sergio Leonel ""Kun"" Agüero del Castillo",77.0
300,0,"December 12, 1930",1300000000.0,Brazil,Senor Abravanel,0
301,1.58," October 21, 1980",780000000.0,American,Kimberly Noel Kardashian,53.0
302,1.75,"October 7, 1959",550000000.0,United Kingdom,Simon Phillip Cowell,74.0
303,0,"April 12, 1947",425000000.0,United States,David Michael Letterman,0
304,1.77,"May 27, 1975",400000000.0,English,James Trevor Oliver,0
305,1.93," September 1, 1950",400000000.0,United States,Phillip Calvin McGraw,0
306,1.8,"December 24, 1974",375000000.0,United States,Ryan John Seacrest,68.0
307,1.71,"January 26, 1958",330000000.0,American,Ellen Lee DeGeneres,64.0
308,0,"March 13, 1959 ",300000000.0,United States,Kathleen Elizabeth Avanzino,0
309,1.69,"February 23, 1969 ",250000000.0,United States,Daymond John,0
310,1.58,"October 9, 1952",220000000.0,United Kingdom,Sharon Rachel Osbourne,0
311,0,0,200000000.0,United States,0,0
312,0,0,200000000.0,United States,0,0
313,0,"September 25, 1929",150000000.0,American,Barbara Jill Walters ,0
314,1.75,"November 19, 1933",150000000.0,American,Lawrence Harvey Zeiger,0
315,0,0,100000000.0,United States,0,0
316,1.88,"October 28, 1949",100000000.0,American,Caitlyn Marie (William Bruce) Jenner ,97.0
317,1.85,"April 19, 1969",100000000.0,American,Jesse Gregory James,0
318,0,"July 17, 1912",90000000.0,American,Gordon Arthur Kelly,0
319,1.93,"September 10, 1949",85000000.0,American,"William James O'Reilly, Jr.",0
320,1.69,"November 28, 1962",80000000.0,American,Jonathan Stuart Leibowitz,0
321,1.83,"December 30, 1961",80000000.0,American,Sean Patrick Hannity,0
322,1.73,"July 22, 1940",75000000.0,Canadian-American,George Alexander Trebek,0
323,0," September 4, 1961",75000000.0,United States,Adrienne Maloof,0
324,0,"August 25, 1968",75000000.0,United States,Rachael Ray,0
325,1.91,"April 11, 1980",75000000.0,American,Mark Charles Teixeira,0
326,1.96,"June 15, 1972",75000000.0,United States,"Andrew Eugene ""Andy"" Pettitte ",102.0
327,1.85,"December 8, 1978",75000000.0,United States,Vernon Michael Wells III,104.0
328,0,"March 11, 1974",70000000.0,Venezuelan,Bob Kelly Abreu,0
329,0,"May 24, 1973",70000000.0,Dominican-American,Bartolo Colon,120.0
330,1.83,"April 14, 1966",70000000.0,American,Gregory Alan Maddux,0
331,1.88,"October 16, 1992 ",70000000.0,American,Bryce Aron Max Harper ,104.0
332,1.84,"November 12, 1968",70000000.0,Dominican,Samuel Kelvin Peralta Sosa,75.0
333,0,"July 27, 1984",68000000.0,American,Maxwell M. Scherzer,98.0
334,0,"November 22, 1974",67000000.0,American,Joseph Michael Nathan,102.0
335,1.75,"November 27, 1971",65000000.0,Puerto Rican-American,Iván Rodríguez Torres,0
336,1.88,"November 21, 1969",65000000.0,American,"George Kenneth Griffey, Jr.",104.0
337,1.88,"August 20, 1973",65000000.0,American,Todd Lynn Helton,0
338,1.83,"March 13, 1979",65000000.0,Venezuela,Johan Alexander Santana Araque,95.0
339,1.93,"August 4, 1962",60000000.0,United States,William Roger Clemens,93.0
340,1.85,"January 7, 1976",60000000.0,Dominican,Alfonso Guilleard Soriano,0
341,0,"May 13, 1978",60000000.0,American,Barry William Zito,0
342,1.88,"November 5, 1973",60000000.0,United States,Johnny David Damon ,79.0
343,1.88,"July 18, 1940",60000000.0,United States,Joseph Paul Torre ,0
344,1.88,"January 31, 1947",60000000.0,United States,Lynn Nolan Ryan Jr.,0
345,1.93,"December 27, 1983",60000000.0,United States,"Colbert Michael ""Cole"" Hamels",86.0
346,1.96,"June 1, 1981 ",60000000.0,Venezuelan,Carlos Alberto Zambrano,118.0
347,1.93,"January 15, 1980",60000000.0,United States,Matt Thomas Holliday,113.0
348,0,"June 18, 1975",60000000.0,American,Torii Kedar Hunter,102.0
349,0,"October 23, 1978",60000000.0,American,John Derran Lackey,0
350,0,"December 8, 1954",1900000000.0,English,Richard Clive Desmond ,0
351,0,"September 8, 1951",1850000000.0,American,Jeffrey Lurie,0
352,0,1976,1800000000.0,Irish,0,0
353,0,26 September 1965,1600000000.0,Italian,Andrea Della Valle,0
354,0,"February 23, 1942",1600000000.0,Dutch,Johannes Adrianus van den Ende,0
